NomID,ProfileID,Bio,DateNominated,DateInducted,ByNominated,IsInducted,IsActive
1,1791,,,2006-01-01 00:00:00,1,1,1
2,66,,,2006-01-01 00:00:00,1,1,1
3,476,,,2006-01-01 00:00:00,1,1,1
4,227,,,2006-01-01 00:00:00,1,1,1
5,1792,,,2006-01-01 00:00:00,1,1,1
6,369,,,2006-01-01 00:00:00,1,1,1
7,3,,,2006-01-01 00:00:00,1,1,1
8,1793,,,2006-01-01 00:00:00,1,1,1
9,199,,,2007-01-01 00:00:00,1,1,1
10,260,,,2007-01-01 00:00:00,1,1,1
11,6,,,2007-01-01 00:00:00,1,1,1
12,70,,,2007-01-01 00:00:00,1,1,1
13,1794,,,2007-01-01 00:00:00,1,1,1
14,916,,,2007-01-01 00:00:00,1,1,1
15,1795,,,2007-01-01 00:00:00,1,1,1
16,1796,,,2008-01-01 00:00:00,1,1,1
17,1797,,,2008-01-01 00:00:00,1,1,1
18,1798,,,2008-01-01 00:00:00,1,1,1
19,1800,,,2008-01-01 00:00:00,1,1,1
20,1801,,,2008-01-01 00:00:00,1,1,1
21,247,,,2008-01-01 00:00:00,1,1,1
22,1802,,,2008-01-01 00:00:00,1,1,1
23,233,,,2008-01-01 00:00:00,1,1,1
24,575,,,2009-01-01 00:00:00,1,1,1
25,646,,,2009-01-01 00:00:00,1,1,1
26,103,,,2009-01-01 00:00:00,1,1,1
27,23,,,2010-01-01 00:00:00,1,1,1
28,355,,,2010-01-01 00:00:00,1,1,1
29,168,,,2010-01-01 00:00:00,1,1,1
30,253,,,2011-01-01 00:00:00,1,1,1
31,329,,,2011-01-01 00:00:00,1,1,1
32,49,,,2012-01-01 00:00:00,1,1,1
33,1803,,,2012-01-01 00:00:00,1,1,1
34,12,,,2013-01-01 00:00:00,1,1,1
35,14,,,2013-01-01 00:00:00,1,1,1
36,206,,,2013-01-01 00:00:00,1,1,1
