RosterID,TeamID,ProfileID,DateCreated,DateApproved,DateUpdated,ByCreated,ByUpdated,ByApproved,IsApproved,IsPlayer,IsRep,IsManager,IsActive,IsConfirmed
7,68,752,2011-04-11 18:32:00,,2011-04-25 09:07:00,752,2,,1,1,0,0,1,1
8,81,327,2011-04-11 18:34:00,,,327,,,1,1,1,0,1,
9,83,204,2011-04-11 18:49:00,,2011-04-18 16:28:00,204,204,,1,1,1,1,1,1
12,57,309,2011-04-12 07:47:00,,2011-04-26 12:44:00,309,4,,1,1,0,0,1,1
13,91,753,2011-04-12 08:29:00,,,753,,,1,1,0,0,1,
14,71,152,2011-04-12 09:32:00,,,152,,,1,1,0,0,1,
15,68,77,2011-04-12 10:00:00,,2011-04-25 09:06:00,77,2,,1,1,1,0,1,1
16,84,66,2011-04-12 10:06:00,,2011-04-21 10:12:00,66,359,,1,1,1,0,1,1
17,84,359,2011-04-12 10:57:00,,2011-04-21 10:12:00,359,359,,1,1,1,1,1,1
18,84,755,2011-04-12 11:13:00,,2011-04-21 10:12:00,755,359,,1,1,0,0,1,1
19,68,2,2011-04-12 12:16:00,,2011-04-25 09:05:00,2,2,,1,1,1,1,1,1
20,57,4,2011-04-12 12:49:00,,2011-04-26 12:44:00,4,4,,1,1,1,1,1,1
21,62,233,2011-04-12 12:49:00,,,233,,,1,1,1,1,1,
22,68,757,2011-04-12 13:06:00,,2011-04-25 09:07:00,757,2,,1,1,0,0,1,1
23,59,579,2011-04-12 13:25:00,,2011-04-28 22:25:00,579,579,,1,1,1,1,1,1
24,62,294,2011-04-12 13:25:00,,,294,,,1,1,0,0,1,
25,62,758,2011-04-12 13:29:00,,,758,,,1,1,0,0,1,
26,68,759,2011-04-12 13:32:00,,2011-04-25 09:07:00,759,2,,1,1,0,0,1,1
27,74,760,2011-04-12 13:34:00,,2011-04-26 09:29:00,760,760,,1,1,1,1,1,1
28,62,762,2011-04-12 14:17:00,,,762,,,1,1,0,0,1,
29,74,763,2011-04-12 14:27:00,,2011-04-26 09:29:00,763,760,,1,1,0,0,1,1
30,62,764,2011-04-12 14:28:00,,,764,,,1,1,0,0,1,
31,58,756,2011-04-12 15:16:00,,,756,,,1,1,1,1,1,
32,55,49,2011-04-12 15:16:00,,2011-04-15 20:26:00,49,49,,1,1,1,1,1,1
33,83,765,2011-04-12 15:20:00,,,765,,,1,1,0,0,1,
34,61,355,2011-04-12 16:09:00,,2011-04-22 08:11:00,355,355,,1,1,1,1,1,1
35,62,56,2011-04-12 16:13:00,,,56,,,1,1,0,0,1,
36,61,350,2011-04-12 16:39:00,,2011-04-22 08:19:00,350,355,,1,1,0,0,1,1
37,60,117,2011-04-12 16:40:00,,2011-04-29 22:10:00,117,623,,1,1,0,0,1,1
38,60,610,2011-04-12 17:25:00,,2011-04-29 22:09:00,610,623,,1,1,0,0,1,1
39,61,378,2011-04-12 17:53:00,,2011-04-22 08:19:00,378,355,,1,1,0,0,1,1
40,61,379,2011-04-12 18:00:00,,2011-04-22 08:19:00,379,355,,1,1,0,0,1,1
41,58,112,2011-04-12 18:26:00,,,112,,,1,1,0,0,1,
42,68,768,2011-04-12 18:29:00,,2011-04-25 09:07:00,768,2,,1,1,0,0,1,1
43,62,168,2011-04-12 19:13:00,,,168,,,1,1,0,0,1,
44,93,769,2011-04-12 19:34:00,,2011-04-30 08:00:00,769,310,,1,1,0,0,1,1
45,57,6,2011-04-12 20:07:00,,2011-04-26 12:44:00,6,4,,1,1,1,1,1,1
46,59,732,2011-04-12 20:11:00,,2011-04-16 07:54:00,732,691,,1,1,0,0,1,1
47,58,770,2011-04-12 20:22:00,,,770,,,1,1,0,0,1,
48,57,8,2011-04-12 20:28:00,,2011-04-26 12:43:00,8,4,,1,1,0,0,1,1
49,56,15,2011-04-12 20:32:00,,2011-04-28 18:34:00,15,575,,1,1,0,0,1,1
50,60,389,2011-04-12 20:45:00,,2011-04-29 22:09:00,389,623,,1,1,0,0,1,1
51,57,246,2011-04-12 21:34:00,,2011-04-26 12:44:00,246,4,,1,1,0,0,1,1
52,57,37,2011-04-12 22:30:00,,2011-04-26 12:40:00,37,4,,1,1,0,0,1,1
53,64,771,2011-04-12 22:33:00,,2011-04-29 08:11:00,771,50,,1,1,0,0,1,1
54,62,298,2011-04-12 23:27:00,,,298,,,1,1,0,0,1,
56,78,19,2011-04-13 06:26:00,,2011-04-18 21:48:00,19,19,,1,1,1,1,1,1
57,76,3,2011-04-13 07:51:00,,2011-04-22 22:46:00,3,3,,1,1,1,1,1,1
58,81,24,2011-04-13 08:22:00,,,24,,,1,1,0,0,1,
59,84,754,2011-04-13 09:11:00,,2011-04-21 10:12:00,754,359,,1,1,0,0,1,1
60,57,774,2011-04-13 10:18:00,,2011-04-26 12:44:00,774,4,,1,1,0,0,1,1
61,60,623,2011-04-13 10:39:00,,2011-04-29 22:08:00,623,623,,1,1,1,1,1,1
62,76,72,2011-04-13 11:42:00,,2011-04-22 22:46:00,72,3,,1,1,0,0,1,1
63,55,535,2011-04-13 11:47:00,,2011-04-15 20:26:00,535,49,,1,1,0,0,1,1
64,76,74,2011-04-13 12:28:00,,2011-04-22 22:46:00,74,3,,1,1,0,0,1,1
65,58,775,2011-04-13 13:05:00,,,775,,,1,1,0,0,1,
66,56,776,2011-04-13 13:33:00,,2011-04-28 18:35:00,776,575,,1,1,0,0,1,1
67,61,777,2011-04-13 15:02:00,,2011-04-22 08:19:00,777,355,,1,1,0,0,1,1
68,63,778,2011-04-13 15:12:00,,2011-04-29 23:32:00,778,994,,1,1,0,0,1,1
69,91,779,2011-04-13 15:13:00,,,779,,,1,1,0,0,1,
70,60,705,2011-04-13 15:30:00,,2011-04-29 22:10:00,705,623,,1,1,0,0,1,1
71,55,766,2011-04-13 16:48:00,,2011-04-15 20:26:00,766,49,,1,1,0,0,1,1
72,59,780,2011-04-13 17:34:00,,2011-04-16 07:54:00,780,691,,1,1,0,0,1,1
73,61,505,2011-04-13 17:49:00,,2011-04-22 08:19:00,505,355,,1,1,0,0,1,1
74,82,250,2011-04-13 17:51:00,,2011-04-26 17:59:00,250,502,,1,1,0,0,1,1
75,81,99,2011-04-13 18:19:00,,,99,,,1,1,0,0,1,
76,82,781,2011-04-13 19:09:00,,,781,,,1,1,0,0,1,
77,57,5,2011-04-13 19:18:00,,2011-04-26 12:43:00,5,4,,1,1,0,0,1,1
78,63,228,2011-04-13 19:21:00,,2011-04-29 23:32:00,228,994,,1,1,0,0,1,1
79,82,467,2011-04-13 19:24:00,,,467,,,1,1,1,0,1,
80,59,782,2011-04-13 20:06:00,,2011-04-16 07:54:00,782,691,,1,1,0,0,1,1
81,55,783,2011-04-13 20:11:00,,2011-04-15 20:26:00,783,49,,1,1,0,0,1,1
82,59,789,2011-04-13 21:09:00,,2011-04-16 07:54:00,789,691,,1,1,0,0,1,1
83,61,63,2011-04-13 21:14:00,,2011-04-22 08:20:00,63,355,,1,1,0,0,1,1
84,69,42,2011-04-13 21:44:00,,,42,,,1,1,0,0,1,
85,78,106,2011-04-13 21:55:00,,2011-04-18 21:48:00,106,19,,1,1,0,0,1,1
86,63,790,2011-04-13 22:15:00,,2011-04-29 23:32:00,790,994,,1,1,0,0,1,1
87,66,216,2011-04-13 22:16:00,,2011-07-19 23:23:00,216,450,,1,1,0,0,1,1
88,82,71,2011-04-13 22:26:00,,2011-04-26 17:58:00,71,502,,1,1,0,0,1,1
89,82,557,2011-04-13 22:39:00,,2011-04-26 17:58:00,557,502,,1,1,0,0,1,1
90,60,792,2011-04-13 23:18:00,,2011-05-08 02:03:00,792,623,,1,1,0,0,1,1
91,59,691,2011-04-14 06:57:00,,2011-04-16 07:54:00,691,691,,1,1,1,0,1,1
92,61,158,2011-04-14 07:38:00,,2011-04-22 08:19:00,158,355,,1,1,0,0,1,1
93,64,50,2011-04-14 09:46:00,,2011-04-27 15:48:00,50,50,,1,1,1,1,1,1
94,81,398,2011-04-14 11:05:00,,,398,,,1,1,0,0,1,
95,64,9,2011-04-14 11:05:00,,2011-04-27 15:48:00,9,50,,1,1,1,0,1,1
96,82,773,2011-04-14 11:15:00,,2011-04-26 17:59:00,773,502,,1,1,0,0,1,1
97,58,793,2011-04-14 11:15:00,,,793,,,1,1,0,0,1,
98,74,794,2011-04-14 11:16:00,,2011-04-26 09:28:00,794,760,,1,1,0,0,1,1
99,90,796,2011-04-14 11:58:00,,2011-04-15 22:09:00,796,492,,1,1,0,0,1,1
100,74,200,2011-04-14 12:04:00,,2011-04-26 09:29:00,200,760,,1,1,1,0,1,1
101,63,211,2011-04-14 12:04:00,,2011-04-29 23:32:00,211,994,,1,1,0,0,1,1
102,56,575,2011-04-14 12:04:00,,2011-04-28 18:35:00,575,575,,1,1,1,1,1,1
103,62,798,2011-04-14 12:56:00,,,798,,,1,1,0,0,1,
104,83,799,2011-04-14 13:11:00,,2011-04-18 16:28:00,799,204,,1,1,0,0,1,1
105,90,492,2011-04-14 13:23:00,,2011-04-15 22:09:00,492,492,,1,1,1,1,1,1
106,55,212,2011-04-14 13:24:00,,2011-04-15 20:27:00,212,49,,1,1,0,0,1,1
107,90,472,2011-04-14 14:53:00,,2011-04-15 22:08:00,472,492,,1,1,1,0,1,1
108,85,18,2011-04-14 15:36:00,,,18,,,1,1,0,0,1,
109,69,85,2011-04-14 15:51:00,,,85,,,1,1,1,0,1,
110,63,802,2011-04-14 16:13:00,,2011-04-29 23:32:00,802,994,,1,1,0,0,1,1
111,57,329,2011-04-14 16:53:00,,2011-04-26 12:44:00,329,4,,1,1,0,0,1,1
112,62,164,2011-04-14 17:03:00,,,164,,,1,1,0,0,1,
113,56,586,2011-04-14 17:32:00,,2011-04-28 18:35:00,586,575,,1,1,0,0,1,1
114,60,400,2011-04-14 18:23:00,,2011-04-29 22:08:00,400,623,,1,1,0,0,1,1
115,81,26,2011-04-14 19:12:00,,,26,,,1,1,0,0,1,
116,63,469,2011-04-14 20:08:00,,2011-04-29 23:32:00,469,994,,1,1,0,0,1,1
117,82,795,2011-04-14 20:32:00,,2011-04-30 21:20:00,795,502,,1,1,0,0,1,1
118,58,761,2011-04-14 21:57:00,,,761,,,1,1,0,0,1,
119,55,805,2011-04-14 23:30:00,,,805,,,1,1,0,0,0,
120,61,805,2011-04-14 23:31:00,,,805,,,1,1,0,0,0,
121,61,806,2011-04-14 23:43:00,,2011-04-22 08:19:00,806,355,,1,1,0,0,1,1
122,56,807,2011-04-15 06:27:00,,2011-04-28 18:35:00,807,575,,1,1,0,0,1,1
123,58,804,2011-04-15 06:45:00,,,804,,,1,1,0,0,1,
124,56,232,2011-04-15 07:49:00,,2011-04-28 18:34:00,232,575,,1,1,0,0,1,1
125,75,808,2011-04-15 07:57:00,,,808,,,1,1,0,0,1,
126,81,58,2011-04-15 07:57:00,,,58,,,1,1,0,0,1,
127,83,809,2011-04-15 08:35:00,,2011-04-18 16:28:00,809,204,,1,1,0,0,1,1
128,85,650,2011-04-15 08:42:00,,,650,,,1,1,0,0,1,
129,70,174,2011-04-15 09:22:00,,2011-04-29 07:34:00,174,199,,1,1,0,0,1,1
130,57,111,2011-04-15 09:26:00,,2011-04-26 12:44:00,111,4,,1,1,0,0,1,1
131,85,810,2011-04-15 09:49:00,,,810,,,1,1,0,0,1,
132,73,811,2011-04-15 10:04:00,,2011-04-26 15:44:00,811,282,,1,1,0,0,1,1
133,56,411,2011-04-15 10:15:00,,2011-04-28 18:34:00,411,575,,1,1,0,0,1,1
134,62,264,2011-04-15 10:16:00,,,264,,,1,1,1,0,1,
135,73,126,2011-04-15 10:17:00,,2011-04-26 15:44:00,126,282,,1,1,0,0,1,1
136,73,203,2011-04-15 10:24:00,,2011-04-26 15:44:00,203,282,,1,1,0,0,1,1
137,73,20,2011-04-15 10:29:00,,2011-04-26 15:44:00,20,282,,1,1,1,1,1,1
138,85,486,2011-04-15 10:30:00,,,486,,,1,1,0,0,1,
139,77,597,2011-04-15 10:43:00,,2011-04-24 20:14:00,597,516,,1,1,0,0,1,1
140,57,814,2011-04-15 10:44:00,,2011-04-26 12:43:00,814,4,,1,1,0,0,1,1
141,60,815,2011-04-15 10:48:00,,2011-04-29 22:08:00,815,623,,1,1,0,0,1,1
142,55,724,2011-04-15 11:15:00,,2011-04-15 20:26:00,724,49,,1,1,0,0,1,1
143,60,507,2011-04-15 11:33:00,,2011-04-29 22:09:00,507,623,,1,1,0,0,1,1
144,60,546,2011-04-15 11:38:00,,2011-04-29 22:08:00,546,623,,1,1,0,0,1,1
145,55,813,2011-04-15 11:40:00,,2011-04-15 20:27:00,813,49,,1,1,0,0,1,1
146,91,817,2011-04-15 11:48:00,,,817,,,1,1,0,0,1,
147,55,506,2011-04-15 11:48:00,,2011-04-15 20:27:00,506,49,,1,1,0,0,1,1
148,62,818,2011-04-15 11:49:00,,,818,,,1,1,0,0,1,
149,62,819,2011-04-15 12:04:00,,,819,,,1,1,0,0,1,
150,90,631,2011-04-15 12:11:00,,2011-04-24 09:53:00,631,492,,1,1,0,0,1,1
151,62,321,2011-04-15 12:16:00,,,321,,,1,1,0,0,1,
152,82,173,2011-04-15 12:34:00,,2011-04-26 17:59:00,173,502,,1,1,0,0,1,1
153,70,306,2011-04-15 12:40:00,,2011-04-29 07:34:00,306,199,,1,1,0,0,1,1
154,84,201,2011-04-15 12:54:00,,2011-04-21 10:12:00,201,359,,1,1,0,0,1,1
155,55,820,2011-04-15 12:57:00,,2011-04-22 00:10:00,820,49,,1,1,0,0,0,0
156,70,155,2011-04-15 13:23:00,,2011-04-29 07:34:00,155,199,,1,1,1,0,1,1
157,70,425,2011-04-15 13:24:00,,2011-04-29 07:34:00,425,199,,1,1,0,0,1,1
158,59,821,2011-04-15 14:10:00,,2011-04-16 07:54:00,821,691,,1,1,0,0,1,1
159,57,222,2011-04-15 14:15:00,,2011-04-26 12:44:00,222,4,,1,1,1,0,1,1
160,70,272,2011-04-15 14:23:00,,2011-04-29 07:34:00,272,199,,1,1,0,0,1,1
161,55,1,2011-04-15 14:28:00,,,1,,,1,1,1,1,0,
162,55,196,2011-04-15 14:51:00,,2011-04-15 20:26:00,196,49,,1,1,0,0,1,1
163,60,824,2011-04-15 15:03:00,,2011-04-29 22:08:00,824,623,,1,1,0,0,1,1
164,61,663,2011-04-15 15:38:00,,2011-04-22 08:19:00,663,355,,1,1,0,0,1,1
165,61,825,2011-04-15 15:56:00,,2011-04-22 08:19:00,825,355,,1,1,0,0,1,1
166,60,217,2011-04-15 17:09:00,,2011-04-15 20:27:00,217,49,,1,1,1,1,1,1
167,63,604,2011-04-15 17:12:00,,2011-04-29 23:33:00,604,994,,1,1,0,0,1,1
168,76,827,2011-04-15 17:25:00,,2011-04-22 22:46:00,827,3,,1,1,0,0,1,1
169,61,828,2011-04-15 17:36:00,,2011-04-22 08:19:00,828,355,,1,1,0,0,1,1
170,60,697,2011-04-15 18:04:00,,2011-04-29 22:10:00,697,623,,1,1,0,0,1,1
171,58,589,2011-04-15 18:35:00,,,589,,,1,1,0,0,1,
172,61,390,2011-04-15 18:55:00,,2011-04-22 08:18:00,390,355,,1,1,0,0,1,1
173,87,664,2011-04-15 19:24:00,,2011-04-29 22:28:00,664,617,,1,1,0,0,1,1
174,63,218,2011-04-15 19:25:00,,2011-04-29 23:32:00,218,994,,1,1,0,0,1,1
175,56,830,2011-04-15 19:43:00,,2011-04-28 18:35:00,830,575,,1,1,0,0,1,1
176,70,205,2011-04-15 19:46:00,,2011-04-29 07:34:00,205,199,,1,1,1,0,1,1
177,63,831,2011-04-15 19:46:00,,2011-04-29 23:33:00,831,994,,1,1,0,0,1,1
178,61,231,2011-04-15 19:53:00,,2011-04-22 08:19:00,231,355,,1,1,0,0,1,1
179,64,39,2011-04-15 20:23:00,,2011-04-27 15:48:00,39,50,,1,1,0,0,1,1
180,68,14,2011-04-15 20:30:00,,2011-04-25 09:06:00,14,2,,1,1,1,0,1,1
181,63,511,2011-04-15 21:07:00,,2011-04-29 23:33:00,511,994,,1,1,1,0,1,1
182,63,606,2011-04-15 21:09:00,,2011-04-29 23:32:00,606,994,,1,1,0,0,1,1
183,76,352,2011-04-15 21:34:00,,2011-04-22 22:46:00,352,3,,1,1,0,0,1,1
184,59,833,2011-04-15 21:47:00,,2011-04-16 07:54:00,833,691,,1,1,0,0,1,1
185,68,90,2011-04-15 21:48:00,,2011-04-25 09:06:00,90,2,,1,1,0,0,1,1
186,63,834,2011-04-15 22:00:00,,2011-04-29 23:32:00,834,994,,1,1,0,0,1,1
187,58,146,2011-04-15 22:10:00,,,146,,,1,1,0,0,1,
188,90,145,2011-04-15 23:21:00,,2011-04-18 20:40:00,145,492,,1,1,0,0,1,1
189,60,619,2011-04-15 23:29:00,,2011-04-29 22:09:00,619,623,,1,1,0,0,1,1
190,60,836,2011-04-16 00:41:00,,2011-04-29 22:10:00,836,623,,1,1,0,0,1,1
191,79,835,2011-04-16 00:48:00,,2011-04-28 20:29:00,835,475,,1,1,0,0,1,1
192,57,534,2011-04-16 02:42:00,,2011-04-26 12:44:00,534,4,,1,1,0,0,1,1
193,71,23,2011-04-16 03:16:00,,,23,,,1,1,1,0,1,
194,71,572,2011-04-16 07:51:00,,,572,,,1,1,0,0,1,
195,87,741,2011-04-16 07:54:00,,2011-04-29 22:28:00,741,617,,1,1,0,0,1,1
196,81,837,2011-04-16 08:46:00,,,837,,,1,1,0,0,1,
197,90,838,2011-04-16 08:54:00,,2011-04-18 20:40:00,838,492,,1,1,0,0,1,1
198,60,600,2011-04-16 09:21:00,,2011-04-29 22:08:00,600,623,,1,1,0,0,1,1
199,55,395,2011-04-16 09:30:00,,2011-04-17 10:48:00,395,49,,1,1,0,0,0,0
200,80,432,2011-04-16 10:53:00,,2011-04-28 21:30:00,432,432,,1,1,1,1,1,1
201,71,609,2011-04-16 11:23:00,,,609,,,1,1,0,0,1,
202,87,560,2011-04-16 11:55:00,,2011-04-29 22:28:00,560,617,,1,1,0,0,1,1
203,85,17,2011-04-16 12:13:00,,,17,,,1,1,0,0,1,
204,73,10,2011-04-16 13:04:00,,2011-04-26 15:44:00,10,282,,1,1,1,0,1,1
205,73,839,2011-04-16 13:22:00,,2011-04-26 15:44:00,839,282,,1,1,0,0,1,1
206,76,103,2011-04-16 13:39:00,,2011-04-22 22:46:00,103,3,,1,1,0,0,1,1
207,73,210,2011-04-16 14:03:00,,2011-04-26 15:44:00,210,282,,1,1,0,0,1,1
208,65,308,2011-04-16 14:29:00,,2011-04-29 21:03:00,308,308,,1,1,1,0,1,1
209,55,841,2011-04-16 14:48:00,,2011-04-17 10:48:00,841,49,,1,1,0,0,1,1
210,70,296,2011-04-16 16:16:00,,2011-04-29 07:34:00,296,199,,1,1,0,0,1,1
211,75,840,2011-04-16 16:38:00,,,840,,,1,1,0,0,1,
212,82,89,2011-04-16 17:56:00,,2011-04-26 17:59:00,89,502,,1,1,0,0,1,1
213,94,842,2011-04-16 18:10:00,,2011-05-04 06:39:00,842,866,,1,1,0,0,1,1
214,66,121,2011-04-16 19:12:00,,2011-07-19 23:22:00,121,450,,1,1,0,0,1,1
215,62,574,2011-04-16 19:40:00,,,574,,,1,1,0,0,1,
216,83,621,2011-04-17 08:55:00,,2011-04-29 08:07:00,621,204,,1,1,0,0,1,1
217,66,450,2011-04-17 12:31:00,,2011-07-19 23:21:00,450,450,,1,1,1,0,1,1
218,71,104,2011-04-17 21:03:00,,,104,,,1,1,0,0,1,
219,78,844,2011-04-17 23:08:00,,2011-04-18 21:48:00,844,19,,1,1,1,0,1,1
220,88,78,2011-04-18 10:46:00,,2011-04-19 16:00:00,78,78,,1,1,1,1,1,1
221,73,543,2011-04-18 11:56:00,,2011-04-26 15:44:00,543,282,,1,1,1,0,1,1
222,69,305,2011-04-18 14:41:00,,,305,,,1,1,1,1,1,
223,74,846,2011-04-18 15:12:00,,2011-04-26 09:29:00,846,760,,1,1,0,0,1,1
224,70,268,2011-04-18 16:45:00,,2011-04-29 07:34:00,268,199,,1,1,0,0,1,1
225,78,822,2011-04-18 16:49:00,,2011-04-18 21:48:00,822,19,,1,1,0,0,1,1
226,73,48,2011-04-18 16:50:00,,2011-04-26 15:44:00,48,282,,1,1,0,0,1,1
227,72,45,2011-04-18 17:40:00,,2011-04-28 07:58:00,45,45,,1,1,1,1,1,1
228,88,847,2011-04-18 19:22:00,,2011-04-19 16:00:00,847,78,,1,1,0,0,1,1
229,90,731,2011-04-18 19:30:00,,2011-08-03 19:04:00,731,492,,1,1,0,0,1,1
230,80,368,2011-04-18 20:01:00,,2011-04-28 21:31:00,368,432,,1,1,0,0,1,1
231,88,423,2011-04-18 20:30:00,,2011-04-19 16:00:00,423,78,,1,1,0,0,1,1
232,75,127,2011-04-18 22:25:00,,,127,,,1,1,0,0,1,
233,73,649,2011-04-18 22:50:00,,2011-04-26 15:44:00,649,282,,1,1,0,0,1,1
234,84,648,2011-04-19 07:54:00,,2011-04-21 10:12:00,648,359,,1,1,0,0,1,1
235,57,62,2011-04-19 09:16:00,,2011-04-26 12:44:00,62,4,,1,1,0,0,1,1
236,92,82,2011-04-19 09:26:00,,2011-04-29 14:32:00,82,92,,1,1,0,0,1,1
237,61,153,2011-04-19 10:10:00,,2011-04-22 08:19:00,153,355,,1,1,0,0,1,1
238,88,114,2011-04-19 11:08:00,,2011-04-19 16:00:00,114,78,,1,1,1,0,1,1
239,90,501,2011-04-19 11:20:00,,2011-04-23 11:04:00,501,492,,1,1,0,0,1,1
240,72,31,2011-04-19 11:34:00,,2011-04-28 07:58:00,31,45,,1,1,0,0,1,1
241,64,115,2011-04-19 12:25:00,,2011-04-27 15:48:00,115,50,,1,1,0,0,1,1
242,83,849,2011-04-19 13:58:00,,2011-04-26 11:19:00,849,204,,1,1,0,0,1,1
243,75,125,2011-04-19 15:33:00,,,125,,,1,1,0,0,1,
244,77,202,2011-04-19 15:51:00,,2011-04-24 20:14:00,202,516,,1,1,0,0,1,1
245,90,850,2011-04-19 19:57:00,,2011-04-23 11:04:00,850,492,,1,1,0,0,1,1
246,90,800,2011-04-19 21:07:00,,2011-04-29 18:29:00,800,492,,1,1,0,0,1,1
247,73,374,2011-04-19 22:46:00,,2011-04-26 15:44:00,374,282,,1,1,0,0,1,1
248,73,195,2011-04-19 23:38:00,,2011-04-26 15:44:00,195,282,,1,1,0,0,1,1
249,71,134,2011-04-20 08:42:00,,,134,,,1,1,0,0,1,
250,74,852,2011-04-20 10:34:00,,2011-04-26 09:29:00,852,760,,1,1,0,0,1,1
251,66,853,2011-04-20 10:50:00,,2011-07-19 23:22:00,853,450,,1,1,0,0,1,1
252,84,669,2011-04-20 11:50:00,,2011-04-21 10:12:00,669,359,,1,1,0,0,1,1
253,75,854,2011-04-20 12:02:00,,,854,,,1,1,1,0,1,
254,70,285,2011-04-20 14:12:00,,2011-04-29 07:34:00,285,199,,1,1,0,0,1,1
255,72,91,2011-04-20 14:38:00,,2011-04-28 07:58:00,91,45,,1,1,0,0,1,1
256,77,573,2011-04-20 17:58:00,,2011-04-24 20:14:00,573,516,,1,1,0,0,1,1
257,64,151,2011-04-20 20:37:00,,2011-04-27 15:48:00,151,50,,1,1,0,0,1,1
258,86,131,2011-04-20 20:57:00,,2011-04-26 15:12:00,131,617,,1,1,0,0,1,1
259,83,858,2011-04-20 21:09:00,,2011-04-26 11:18:00,858,204,,1,1,0,0,1,1
260,87,253,2011-04-20 21:25:00,,2011-04-29 22:29:00,253,617,,1,1,0,0,1,1
261,71,60,2011-04-20 21:31:00,,,60,,,1,1,0,0,1,
262,77,516,2011-04-20 22:52:00,,2011-04-24 20:14:00,516,516,,1,1,1,1,1,1
263,80,859,2011-04-20 23:43:00,,2011-04-28 21:31:00,859,432,,1,1,0,0,1,1
264,91,861,2011-04-21 04:18:00,,,861,,,1,1,0,0,1,
265,82,364,2011-04-21 09:53:00,,,364,,,1,1,0,0,1,
266,79,475,2011-04-21 10:20:00,,2011-04-28 20:28:00,475,475,,1,1,1,1,1,1
267,74,862,2011-04-21 11:21:00,,2011-04-26 09:29:00,862,760,,1,1,0,0,1,1
268,65,863,2011-04-21 12:50:00,,2011-04-26 11:25:00,863,615,,1,1,0,0,1,1
269,65,864,2011-04-21 13:00:00,,2011-04-26 11:25:00,864,615,,1,1,0,0,1,1
270,55,377,2011-04-21 13:46:00,,2011-04-21 13:50:00,377,49,,1,1,0,0,1,1
271,68,856,2011-04-21 16:23:00,,2011-04-25 09:07:00,856,2,,1,1,0,0,1,1
272,87,865,2011-04-21 16:47:00,,2011-04-29 22:28:00,865,617,,1,1,0,0,1,1
273,74,75,2011-04-21 16:51:00,,2011-04-26 09:29:00,75,760,,1,1,0,0,1,1
274,94,866,2011-04-21 20:32:00,,2011-04-21 21:19:00,866,866,,1,1,1,1,1,1
275,64,206,2011-04-21 20:46:00,,2011-04-27 15:48:00,206,50,,1,1,0,0,1,1
276,77,867,2011-04-22 10:44:00,,2011-04-24 20:14:00,867,516,,1,1,0,0,1,1
277,89,59,2011-04-22 11:18:00,,,59,,,1,1,1,1,1,
278,71,693,2011-04-22 11:55:00,,,693,,,1,1,0,0,1,
279,78,449,2011-04-22 13:11:00,,2011-04-23 08:21:00,449,19,,1,1,0,0,1,1
280,80,860,2011-04-22 14:41:00,,2011-04-28 21:31:00,860,432,,1,1,0,0,1,1
