SponsorID,SponsorType,SponsorName,SponsorURL,SponsorEmail,SponsorPhone,SponsorDetails,DateCreated,DateUpdated,ByCreated,ByUpdated,IsActive,IsLeague,ShowCarousel,LogoUrl
1,,Gym Sportsbar,http://www.gymsportsbar.com/,,,"Gym Sportsbar brings a new game to town as NYC’s first and only gay sports bar. It's the perfect place to catch your game on one of the nine big screen TVs, play a game of pool and hang out with New York’s gay jocks and sports fans.",,,,,1,1,1,https://35b7f1d7d0790b02114c-1b8897185d70b198c119e1d2b7efd8a2.ssl.cf1.rackcdn.com/website_files/31660/original/gym.jpg?1420513644
2,,Therapy,http://www.therapy-nyc.com/,,,"Therapy is two floors of relaxing “spa” atmosphere, good food, happy hour every day from 5-8 p.m. and comfortable friendly conversation for any person—straight or gay. Come join the Therapy Warriors after games on Saturdays and enjoy the 2-for-1 from 5-8.",,,,,1,,,
3,,Village Apothecary,http://www.villageapothecary.com/,,,Neighborhood pharmacy operated by long-time Buddies member and sponsor.,,,,,1,,,
4,,Splash,http://www.splashbar.com/,,,"Wet-and-wild fun at popular Chelsea hot spot, featuring lounge, dance floor and four bars.",,,,,1,,,
5,,Bamboo 52,http://www.bamboo52nyc.com/,,,"Located in the heart of Hell’s Kitchen, Bamboo 52 is a brand new beautiful and spacious bar/lounge. With a live deejay, outside patio and an exotic sushi bar, it is the perfect place to hang with friends and meet new and interesting people. An ultra friendly and great looking staff, cutting edge audio-visual technology, incredible drink specials and more are all helping make Bamboo 52 the hottest spot in an already hip and happening neighborhood.",,,,,1,,,
6,,Ritz Bar And Lounge,http://ritzbarandlounge.com/,,,"Anchoring Restaurant Row’s brimming sink of sudsy gay and lesbian bars and post-theater eateries, the nautical-themed Ritz Bar & Lounge keeps people afloat with a half-price happy hour and DJs spinning nearly every night of the week. This Hell’s Kitchen hot spot (boasting outdoor patios, summertime BBQs and guest DJs) was the winner of the 2007 HX Award for Best New Venue.",,,,,1,1,1,https://35b7f1d7d0790b02114c-1b8897185d70b198c119e1d2b7efd8a2.ssl.cf1.rackcdn.com/website_files/31655/original/ritz.jpg?1420513644h
7,,New York Dermatology Group,http://www.nydermatologygroup.com/,,,A unique Manhattan practice that incorporates state-of-the-art dermatology with other essential medical disciplines to provide an exceptional treatment experience.,,,,,1,,,
8,,Eagle,http://www.eaglenyc.com/index.php,,,"New York’s premiere leather bar continues its tradition of having the hottest men, great pool tables, and serious cruising.",,,,,1,1,1,https://35b7f1d7d0790b02114c-1b8897185d70b198c119e1d2b7efd8a2.ssl.cf1.rackcdn.com/website_files/31666/original/eagle.jpg?1420513651
9,,Michael Conboy,,,,,,,,,1,,,
10,,Precision Custom Coating,http://www.pcc-usa.com/aboutPCC.htm,,,,,,,,1,,,
