"TeamID","TeamCode","TeamName","LongName","DivID","TeamStatus","TeamDesc","StatWins","StatLosses","StatTies","StatWinsPerc","StatPlayed","StatGamesBack","StatPtsScored","StatPtsAllowed","StatPtsJoint","StatPtsPerc","StatDivWins","StatDivLosses","StatDivTies","StatDivWinsPerc","StatDivPlayed","StatDivGamesBack","StatDivPtsScored","StatDivPtsAllowed","StatDivPtsJoint","StatDivPtsPerc","DateCreated","DateApproved","DateUpdated","ByCreated","ByUpdated","ByApproved","IsDescActive","IsApproved","IsPublic","IsActive","TeamContact","TeamEmail"
1,"3DD4C348-48DC-4EE3-8CC9-5219FBFC1150","Eagle","Eagle",1,"C","<p>The Eagle NYC was one of the first members of MCAA and then the BASL dating back to 1977. Softball players and leathermen have always hung out together at this legendary leather/levi bar. Friendly competition on the softball field both locally and across the country became a means by which this remote outpost (it used be located on 21st street and the West Side Highway) could bridge the cultural gap between the Eagle and the rest of the gay community.The Eagle has been deeply involved in the community hosting numerous fundraisers and raising 100's of thousands of dollars over the years for charitable organizations like GMHC, Callen-Lorde, the Anti-Violence Project and many many others.</p>
<p>We still play softball in the upper division of the BASL, we still have really hot patrons, we still have great DJ's, we still raise money for our community, but we moved 10 years ago to a 2 story building on 28th street between 10th &amp; 11th Avenues, five times the size of the original Eagle. In the summer our large roofdeck bar is open so you can enjoy the warm sunshine while drinking your ice cold beer and hanging with your friends.</p>
<p>We also have many themed parties and events so to keep up to date with what's going on at the Eagle you can either subscribe to our free weekly newsletter at www.eaglenyc.com or join us on Facebook at TheEagleNYC or do both.</p>",13,7,0,0.65,20,1,191,147,,,,,,,,0,,,,,,,"2010-04-25 15:54:00",,1,,"1","1","1","1",,
2,"72678602-19B1-42EE-9D1E-A1057F03F12E","Mavericks","Gym Mavericks",1,"C","<p>The Mavericks come into their sixth season looking to defend their first-place finishes in the past two years' Playoffs in the Dima Division.&nbsp; One of the teams' goals remains to represent the BASL every year at the NAGAAA World Series, this year in Columbus, Ohio, August 15-21.</p>",11,9,0,0.55,20,3,187,151,,,,,,,,0,,,,,,,"2010-05-14 13:47:00",,78,,"1","1","1","1",,
3,"549CAB4C-F6FF-4DF2-854A-BF3827BB6960","Warriors","Boxer's Warriors",1,"C","The team formerly known as the Stallions returns for another season as one of the Dima Division’s stalwarts.",14,6,0,0.7,20,0,232,171,,,,,,,,0,,,,,,,,,,,"1","1","1","1",,
4,"84BB8FE4-25D6-4B6B-A637-40C125550F75","Gridirons","Bamboo 52 Gridirons",2,"C","Beginning their fourth year in the league, the Gridirons look forward their second season competing in the Stonewall Division.",4,19,1,0.167,24,13,148,360,,,,,,,,0,,,,,,,,,,,"1","1","1","1",,
5,"872F567C-6EED-45C1-B9DE-68BA11E283CE","Crusaders","The Crusaders",2,"C","Formerly known as the Cruisers, the team is now in its eighth season as a Stonewall team.",17,6,1,0.708,24,0,284,182,,,,,,,,0,,,,,,,,,,,"1","1","1","1",,
6,"B61CE842-7983-466A-A0CD-D97714AB593C","Wings","Eagle's Wings",2,"C","<p>After winning the Fitzpatrick division during the regular season in 2008 The Wings graduated to the Stonewall division in 2009. Having battled through our rookie season we finally have our cleats firmly dug into the field. Whether it be during the regular season or travelling to tournaments in other cities The Wings love a good challege and love to compete. Stay up to date on our website: <a href=""http://www.wix.com/WingsNY/The-Wings"">www.wix.com/WingsNY/The-Wings</a>. Fly High Wings!!!</p>",10,14,0,0.417,24,7.5,192,253,,,,,,,,0,,,,,,,"2010-04-27 11:56:00",,1,,"1","1","1","1",,
7,"7235274A-612E-478D-B33D-4A83FF2D5A5C","Titans","Gym Titans",2,"C","Sponsored by GYM Sports Bar and C-In2. The Titans have played together for 6 years and are a friendly, encouraging, relaxed group of people looking to have fun on the weekends and playing competitive, good softball. You can find Titans hanging out at GYM Bar after the games.",9,13,2,0.375,24,7.5,290,240,,,,,,,,0,,,,,,,,,,,"1","1","1","1",,
8,"B99F6C70-1020-4B88-ADC5-288C95B6BA12","Royals","Ritz Royals",2,"C","After achieving a third-place finish in both the regular season and the playoffs in their debut season in the Fitzpatrick Division in the 2007, the Royals moved up to the Stonewall Division last year. They are looking forward to another successful season, making new friends and the opportunity to prove that the Royals are a force to be reckoned with.",9,15,0,0.375,24,8.5,236,269,,,,,,,,0,,,,,,,,,,,"1","1","1","1",,
9,"6D264B38-D88D-4583-AD32-F727B0FDCCE1","Buddies","Village Apothecary Buddies",2,"C","The team aspires to be competitive but cool and to do very well in 2009 and beyond, bringing the Buddies name back to national attention.",8,14,2,0.333,24,8.5,212,253,,,,,,,,0,,,,,,,,,,,"1","1","1","1",,
10,"0B6EB2A1-EDD8-439C-835A-F913872401FC","Barbarians","Barbarians",3,"C","This season, the Barbarians—now in the Fitzpatrick Division—are jointly sponsored by Julius’ Bar and Julius’ Lamppost Giving Program, an outreach group supporting neighborhood causes.",7,11,0,0.389,18,7,169,160,,,,,,,,0,,,,,,,,,,,"1","1","1","1",,
